TableType,Operation,Case,TableSize,Time
SeparateChaining,Add,optimistic,10,1456.01
SeparateChaining,Remove,optimistic,10,70.745
OpenAddressing,Add,optimistic,10,1992.59
OpenAddressing,Remove,optimistic,10,208.71
Cuckoo,Add,optimistic,10,1495.37
Cuckoo,Remove,optimistic,10,47.047
SeparateChaining,Add,average,10,213.497
SeparateChaining,Remove,average,10,62.031
OpenAddressing,Add,average,10,1470.07
OpenAddressing,Remove,average,10,154.965
Cuckoo,Add,average,10,2372.15
Cuckoo,Remove,average,10,53.564
SeparateChaining,Add,pessimistic,10,1509.54
SeparateChaining,Remove,pessimistic,10,62.442
OpenAddressing,Add,pessimistic,10,1370.17
OpenAddressing,Remove,pessimistic,10,157.632
Cuckoo,Add,pessimistic,10,1425.97
Cuckoo,Remove,pessimistic,10,39.947
SeparateChaining,Add,optimistic,50,1699.2
SeparateChaining,Remove,optimistic,50,67.229
OpenAddressing,Add,optimistic,50,2030.53
OpenAddressing,Remove,optimistic,50,783.451
Cuckoo,Add,optimistic,50,1206.25
Cuckoo,Remove,optimistic,50,35.34
SeparateChaining,Add,average,50,97.742
SeparateChaining,Remove,average,50,44.351
OpenAddressing,Add,average,50,1992.43
OpenAddressing,Remove,average,50,669.649
Cuckoo,Add,average,50,1284.05
Cuckoo,Remove,average,50,38.519
SeparateChaining,Add,pessimistic,50,1301.76
SeparateChaining,Remove,pessimistic,50,61.45
OpenAddressing,Add,pessimistic,50,1837.87
OpenAddressing,Remove,pessimistic,50,810.488
Cuckoo,Add,pessimistic,50,1278.05
Cuckoo,Remove,pessimistic,50,44.482
SeparateChaining,Add,optimistic,100,1495.8
SeparateChaining,Remove,optimistic,100,47.339
OpenAddressing,Add,optimistic,100,2672.3
OpenAddressing,Remove,optimistic,100,1481.16
Cuckoo,Add,optimistic,100,1185.78
Cuckoo,Remove,optimistic,100,38.367
SeparateChaining,Add,average,100,90.825
SeparateChaining,Remove,average,100,47.557
OpenAddressing,Add,average,100,2069.86
OpenAddressing,Remove,average,100,1171.77
Cuckoo,Add,average,100,889.021
Cuckoo,Remove,average,100,45.043
SeparateChaining,Add,pessimistic,100,1234.9
SeparateChaining,Remove,pessimistic,100,44.109
OpenAddressing,Add,pessimistic,100,2695.24
OpenAddressing,Remove,pessimistic,100,1173.93
Cuckoo,Add,pessimistic,100,905.764
Cuckoo,Remove,pessimistic,100,36.572
SeparateChaining,Add,optimistic,500,1325.52
SeparateChaining,Remove,optimistic,500,52.588
OpenAddressing,Add,optimistic,500,3659.11
OpenAddressing,Remove,optimistic,500,3491.48
Cuckoo,Add,optimistic,500,282.276
Cuckoo,Remove,optimistic,500,41.677
SeparateChaining,Add,average,500,75.48
SeparateChaining,Remove,average,500,81.337
OpenAddressing,Add,average,500,364.784
OpenAddressing,Remove,average,500,239.998
Cuckoo,Add,average,500,197.248
Cuckoo,Remove,average,500,43.387
SeparateChaining,Add,pessimistic,500,1221.35
SeparateChaining,Remove,pessimistic,500,70.917
OpenAddressing,Add,pessimistic,500,3713.64
OpenAddressing,Remove,pessimistic,500,3887.59
Cuckoo,Add,pessimistic,500,296.039
Cuckoo,Remove,pessimistic,500,42.509
SeparateChaining,Add,optimistic,1000,1216.29
SeparateChaining,Remove,optimistic,1000,47.003
OpenAddressing,Add,optimistic,1000,4264.19
OpenAddressing,Remove,optimistic,1000,3612.7
Cuckoo,Add,optimistic,1000,159.121
Cuckoo,Remove,optimistic,1000,42.19
SeparateChaining,Add,average,1000,73.497
SeparateChaining,Remove,average,1000,46.87
OpenAddressing,Add,average,1000,45.078
OpenAddressing,Remove,average,1000,52.57
Cuckoo,Add,average,1000,73.895
Cuckoo,Remove,average,1000,38.218
SeparateChaining,Add,pessimistic,1000,1210.62
SeparateChaining,Remove,pessimistic,1000,77.607
