TableType,Operation,Case,TableSize,Time
SeparateChaining,Add,optimistic,10,2.417
SeparateChaining,Remove,optimistic,10,1.456
OpenAddressing,Add,optimistic,10,2.793
OpenAddressing,Remove,optimistic,10,2.162
Cuckoo,Add,optimistic,10,1.413
Cuckoo,Remove,optimistic,10,1.158
SeparateChaining,Add,average,10,2.457
SeparateChaining,Remove,average,10,1.899
OpenAddressing,Add,average,10,1.368
OpenAddressing,Remove,average,10,1.176
Cuckoo,Add,average,10,6.63
Cuckoo,Remove,average,10,0.867
SeparateChaining,Add,pessimistic,10,2.856
SeparateChaining,Remove,pessimistic,10,1.441
OpenAddressing,Add,pessimistic,10,2.158
OpenAddressing,Remove,pessimistic,10,1.928
Cuckoo,Add,pessimistic,10,0.923
Cuckoo,Remove,pessimistic,10,0.796
SeparateChaining,Add,optimistic,50,21.712
SeparateChaining,Remove,optimistic,50,4.48
OpenAddressing,Add,optimistic,50,44.821
OpenAddressing,Remove,optimistic,50,40.338
Cuckoo,Add,optimistic,50,32.1
Cuckoo,Remove,optimistic,50,5.052
SeparateChaining,Add,average,50,14.445
SeparateChaining,Remove,average,50,6.251
OpenAddressing,Add,average,50,15.367
OpenAddressing,Remove,average,50,13.241
Cuckoo,Add,average,50,12.678
Cuckoo,Remove,average,50,4.713
SeparateChaining,Add,pessimistic,50,24.575
SeparateChaining,Remove,pessimistic,50,4.872
OpenAddressing,Add,pessimistic,50,41.345
OpenAddressing,Remove,pessimistic,50,39.606
Cuckoo,Add,pessimistic,50,28.048
Cuckoo,Remove,pessimistic,50,4.143
SeparateChaining,Add,optimistic,100,73.053
SeparateChaining,Remove,optimistic,100,9.936
OpenAddressing,Add,optimistic,100,157.089
OpenAddressing,Remove,optimistic,100,140.525
Cuckoo,Add,optimistic,100,72.001
Cuckoo,Remove,optimistic,100,11.933
SeparateChaining,Add,average,100,21.35
SeparateChaining,Remove,average,100,8.962
OpenAddressing,Add,average,100,19.949
OpenAddressing,Remove,average,100,18.061
Cuckoo,Add,average,100,44.186
Cuckoo,Remove,average,100,7.726
SeparateChaining,Add,pessimistic,100,98.557
SeparateChaining,Remove,pessimistic,100,9.048
OpenAddressing,Add,pessimistic,100,148.049
OpenAddressing,Remove,pessimistic,100,134.35
Cuckoo,Add,pessimistic,100,45.222
Cuckoo,Remove,pessimistic,100,7.938
SeparateChaining,Add,optimistic,250,330.016
SeparateChaining,Remove,optimistic,250,22.867
OpenAddressing,Add,optimistic,250,950.162
OpenAddressing,Remove,optimistic,250,886.204
Cuckoo,Add,optimistic,250,118.599
Cuckoo,Remove,optimistic,250,19.556
SeparateChaining,Add,average,250,56.693
SeparateChaining,Remove,average,250,27.423
OpenAddressing,Add,average,250,77.344
